brand,rate,count,sku
五芳斋,0.73943662,51,100001559639
亨氏,0.707746479,92,2169939
俏香阁,0.657777778,53,100012901812
十月稻田,0.71875,61,4292944
华源良品,0.666666667,38,10020176668539
南国,0.75,71,623760
厨邦,0.760747664,186,3763759
吉香居,0.695163105,230,4665497
地道湘,0.59602649,59,30750526915
大嘴先生,0.745098039,138,100015687534
娃哈哈,0.787592008,261,1129090
川南,0.726244344,219,100000428823
川娃子,0.741672332,484,100005264233
川珍,0.721518987,47,100010637500
方家铺子,0.765676568,198,5415987
春光,0.695767196,137,5676502
李子柒,0.64781491,109,10024090168114
李锦记,0.754975124,307,1078121
汴都铺子,0.74301676,38,29438929692
泰奇,0.737603306,151,7552427
海天,0.756351039,250,1338357
海底捞,0.72280419,404,100002398567
清净园,0.733333333,225,100007770057
燕之坊,0.717153285,77,2804958
特瑞肯,0.755067568,206,5964486
珍尚米,0.718972896,231,100008762408
禾煜,0.834437086,42,100000977790
老坛子,0.767741935,113,100006982973
老干妈,0.747146933,687,844099
聪厨,0.805781391,280,100008050179
茂德公,0.725619835,253,6644451
虎邦,0.728413284,415,4410290
蜀姑娘,0.691287879,184,8922029
谷小宝,0.739903069,108,100016415708
达利园,0.71760633,385,705816
酱先生,0.691099476,130,100015856592
银鹭,0.678090575,95,7585104
韩今,0.707142857,115,3681877
饭扫光,0.734177215,135,100015029096
鹃城牌,0.707100592,171,3798578